date,produit,region,prix_fcfa_kg,volume_kg
2019,2019-01,04/01/2019,Riz Importé,Mpal
2019,2019-01,04/01/2019,Riz Importé,Porokhane
2019,2019-01,04/01/2019,Riz Importé Parfumé,Tilene
2019,2019-01,04/01/2019,Riz Importé Parfumé,Thiaroye
2019,2019-01,04/01/2019,Riz,Tilene
2019,2019-01,04/01/2019,Riz,Thiaroye
2019,2019-01,04/01/2019,Riz,Mpal
2019,2019-01,03/01/2019,Mil,Kaolack
2019,2019-01,03/01/2019,Mil,Tambacounda
2019,2019-01,03/01/2019,Mil,Sédhiou
2019,2019-01,03/01/2019,Sorgho,Kaolack
2019,2019-01,03/01/2019,Sorgho,Tambacounda
2019,2019-01,03/01/2019,Maïs,Kaolack
2019,2019-01,03/01/2019,Maïs,Tambacounda
2019,2019-01,03/01/2019,Maïs,Sédhiou
2019,2019-01,03/01/2019,Riz Importé,Kaolack
2019,2019-01,03/01/2019,Riz Importé,Tambacounda
2019,2019-01,03/01/2019,Riz Importé,Sédhiou
2019,2019-01,03/01/2019,Riz Importé Parfumé,Kaolack
2019,2019-01,03/01/2019,Riz Importé Parfumé,Tambacounda
2019,2019-01,03/01/2019,Riz Importé Parfumé,Sédhiou
2019,2019-01,03/01/2019,Riz,Kaolack
2019,2019-01,02/01/2019,Mil,Ourossogui
2019,2019-01,02/01/2019,Mil,Thiès
2019,2019-01,02/01/2019,Sorgho,Thiès
2019,2019-01,02/01/2019,Maïs Importé,Ourossogui
2019,2019-01,02/01/2019,Maïs Importé,Thiès
2019,2019-01,02/01/2019,Sorgho Importé,Ourossogui
2019,2019-01,02/01/2019,Sorgho Importé,Thiès
2019,2019-01,02/01/2019,Riz Importé,Ourossogui
2019,2019-01,02/01/2019,Riz Importé,Thiès
2019,2019-01,02/01/2019,Riz Importé Parfumé,Thiès
2019,2019-01,02/01/2019,Riz,Ourossogui
2019,2019-01,02/01/2019,Riz,Thiès
2019,2019-01,01/01/2019,Mil,Thiodaye
2019,2019-01,01/01/2019,Sorgho,Thiodaye
2019,2019-01,01/01/2019,Maïs Importé,Thiodaye
2019,2019-01,01/01/2019,Sorgho Importé,Thiodaye
2019,2019-01,01/01/2019,Riz Importé,Thiodaye
2019,2019-01,01/01/2019,Riz,Thiodaye
2018,2018-12,31/12/2018,Mil,Mereto
2018,2018-12,31/12/2018,Mil,Saint-Louis
2018,2018-12,31/12/2018,Mil,Kaffrine
2018,2018-12,31/12/2018,Sorgho,Mereto
2018,2018-12,31/12/2018,Sorgho,Kaffrine
2018,2018-12,31/12/2018,Maïs,Mereto
2018,2018-12,31/12/2018,Maïs,Saint-Louis
2018,2018-12,31/12/2018,Maïs,Kaffrine
2018,2018-12,31/12/2018,Maïs Importé,Saint-Louis
2018,2018-12,31/12/2018,Sorgho Importé,Saint-Louis
2018,2018-12,31/12/2018,Riz Importé,Mereto
