"Année","Mois","Date exacte","Type De Culture","Marché","Quantité","Prix de vente","Prix d'achat au détail","Prix d'achat en gros"
"2019","2019-01","07/01/2019","Maïs","Kaffrine","3","165","170",""
"2019","2019-01","07/01/2019","Maïs Importé","Saint-Louis","40","","250",""
"2019","2019-01","07/01/2019","Sorgho Importé","Saint-Louis","20","","300",""
"2019","2019-01","07/01/2019","Riz Importé","Mereto","80","","300","270"
"2019","2019-01","07/01/2019","Riz Importé","Kolda","185","","300","280"
"2019","2019-01","07/01/2019","Riz Importé","Saint-Louis","120","","300","275"
"2019","2019-01","07/01/2019","Riz Importé","Kaffrine","90","","300",""
"2019","2019-01","07/01/2019","Riz Importé Parfumé","Mereto","9","","450","400"
"2019","2019-01","07/01/2019","Riz Importé Parfumé","Kolda","12","","400",""
"2019","2019-01","07/01/2019","Riz Importé Parfumé","Saint-Louis","50","","400","360"
"2019","2019-01","07/01/2019","Riz Importé Parfumé","Kaffrine","1","","400",""
"2019","2019-01","07/01/2019","Riz","Kolda","5","","300","280"
"2019","2019-01","07/01/2019","Riz","Saint-Louis","80","","300","250"
"2019","2019-01","06/01/2019","Mil","Fatick","21","","225","210"
"2019","2019-01","06/01/2019","Mil","Birkilane","45","160","165",""
"2019","2019-01","06/01/2019","Sorgho","Fatick","5","","225","215"
"2019","2019-01","06/01/2019","Sorgho","Birkilane","2","190","195",""
"2019","2019-01","06/01/2019","Maïs","Fatick","13","","225","215"
"2019","2019-01","06/01/2019","Maïs","Birkilane","7","165","170",""
"2019","2019-01","06/01/2019","Maïs Importé","Fatick","35","","225","215"
"2019","2019-01","06/01/2019","Riz Importé","Fatick","75","","270",""
"2019","2019-01","06/01/2019","Riz Importé","Birkilane","40","","300",""
"2019","2019-01","06/01/2019","Riz Importé Parfumé","Fatick","41","","380",""
"2019","2019-01","06/01/2019","Riz Importé Parfumé","Birkilane","1","","400",""
"2019","2019-01","05/01/2019","Mil","Touba Mouride","10","170","175",""
"2019","2019-01","05/01/2019","Mil","Passy","115","180","200","190"
"2019","2019-01","05/01/2019","Sorgho","Passy","21","195","210","200"
"2019","2019-01","05/01/2019","Maïs","Touba Mouride","1","150","160",""
"2019","2019-01","05/01/2019","Maïs","Passy","81","190","210","200"
"2019","2019-01","05/01/2019","Maïs Importé","Passy","35","","220","210"
"2019","2019-01","05/01/2019","Riz Importé","Touba Mouride","15","","300","280"
"2019","2019-01","05/01/2019","Riz Importé","Passy","115","","270",""
"2019","2019-01","05/01/2019","Riz Importé Parfumé","Passy","42","","350",""
"2019","2019-01","04/01/2019","Mil","Tilene","100","","250","210"
"2019","2019-01","04/01/2019","Mil","Thiaroye","150","","225","200"
"2019","2019-01","04/01/2019","Mil","Mpal","30","","250","225"
"2019","2019-01","04/01/2019","Mil","Porokhane","40","150","160",""
"2019","2019-01","04/01/2019","Maïs","Tilene","2","","250","225"
"2019","2019-01","04/01/2019","Maïs","Thiaroye","12","","200","180"
"2019","2019-01","04/01/2019","Maïs","Mpal","10","","225","200"
"2019","2019-01","04/01/2019","Maïs","Porokhane","7","150","155",""
"2019","2019-01","04/01/2019","Maïs Importé","Tilene","80","","250",""
"2019","2019-01","04/01/2019","Maïs Importé","Thiaroye","8","","200","175"
"2019","2019-01","04/01/2019","Maïs Importé","Mpal","30","","225","200"
"2019","2019-01","04/01/2019","Sorgho Importé","Tilene","1","","250",""
"2019","2019-01","04/01/2019","Sorgho Importé","Thiaroye","10","","250",""
"2019","2019-01","04/01/2019","Sorgho Importé","Mpal","5","","325",""
"2019","2019-01","04/01/2019","Riz Importé","Tilene","80","","300","265"
"2019","2019-01","04/01/2019","Riz Importé","Thiaroye","120","","300","260"
"2019","2019-01","04/01/2019","Riz Importé","Mpal","150","","300","270"
"2019","2019-01","04/01/2019","Riz Importé","Porokhane","30","","300",""
"2019","2019-01","04/01/2019","Riz Importé Parfumé","Tilene","120","","350","300"
"2019","2019-01","04/01/2019","Riz Importé Parfumé","Thiaroye","150","","350",""
"2019","2019-01","04/01/2019","Riz","Tilene","10","","350","270"
"2019","2019-01","04/01/2019","Riz","Thiaroye","10","","350",""
"2019","2019-01","04/01/2019","Riz","Mpal","100","","275","240"
"2019","2019-01","03/01/2019","Mil","Kaolack","90","","185",""
"2019","2019-01","03/01/2019","Mil","Tambacounda","40","","200","175"
"2019","2019-01","03/01/2019","Mil","Sédhiou","7","","250","225"
"2019","2019-01","03/01/2019","Sorgho","Kaolack","8","","225",""
"2019","2019-01","03/01/2019","Sorgho","Tambacounda","3","","225","200"
"2019","2019-01","03/01/2019","Maïs","Kaolack","25","","180",""
"2019","2019-01","03/01/2019","Maïs","Tambacounda","60","","200","175"
"2019","2019-01","03/01/2019","Maïs","Sédhiou","2","","250","225"
"2019","2019-01","03/01/2019","Riz Importé","Kaolack","433","","300",""
"2019","2019-01","03/01/2019","Riz Importé","Tambacounda","370","","300","270"
"2019","2019-01","03/01/2019","Riz Importé","Sédhiou","95","","300","280"
"2019","2019-01","03/01/2019","Riz Importé Parfumé","Kaolack","65","","400",""
"2019","2019-01","03/01/2019","Riz Importé Parfumé","Tambacounda","80","","400","350"
"2019","2019-01","03/01/2019","Riz Importé Parfumé","Sédhiou","7","","400","380"
"2019","2019-01","03/01/2019","Riz","Kaolack","48","","300",""
"2019","2019-01","02/01/2019","Mil","Ourossogui","20","","250","210"
